CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F20121,F20122,F20123,F20125,F20126,F20127,F20217,F20218,F20219,F20221,F20222,F20223,F20229,F20230,F20231,F20233,F20234,F20235,F20241,F20242,F20243,F20245,F20246,F20247,F20277,F20278,F20279,F20281,F20282,F20283,F20289,F20290,F20291,F20293,F20294,F20295,F20301,F20302,F20303,F20305,F20306,F20307,F20313,F20314,F20315,F20317,F20318,F20319,F20325,F20326,F20327,F20329,F20330,F20331,F20337,F20338,F20339,F20341,F20342,F20343,F20349,F20350,F20351,F20353,F20354,F20355,F20361,F20362,F20363,F20365,F20366,F20367,F20397,F20398,F20399,F20401,F20402,F20403,F20517,F20518,F20519,F20521,F20522,F20523,F20721,F20722,F20723,F20725,F20726,F20727,F20805,F20806,F20807,F20809,F20810,F20811,F20817,F20818,F20819,F20821,F20822,F20823,F20865,F20866,F20867,F20869,F20870,F20871,
19906,00ABGC,00ABGC : Eastbury,Standard Table (ST) wards,SWARD,1110,2992,621,1033,3103,1199,3,20,16,0,44,30,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,7,0,0,6,0,0,8,6,0,4,0,0,4,0,0,3,0,0,0,0,0,3,0,0,3,3,0,12,0,0,7,0,3,3,5,0,3,6,7,31,0,0,29,7,17,145,0,38,158,0,6,138,12,9,141,8,4,35,3,3,42,3,3,3,0,0,7,0,0,3,0,0,10,0,0,8,3,0,10,0,
19907,00ABGD,00ABGD : Gascoigne,Standard Table (ST) wards,SWARD,1223,2786,428,1212,2947,776,3,39,20,3,29,19,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,4,7,3,0,8,0,0,8,4,0,7,0,0,6,0,3,3,0,3,4,0,0,3,0,0,6,0,7,17,3,10,13,3,3,4,3,0,0,0,70,128,6,40,123,4,78,358,10,89,425,14,19,276,15,23,259,23,3,30,6,3,52,0,6,13,3,3,14,3,0,6,0,0,12,3,3,6,0,0,5,0,
19908,00ABGE,00ABGE : Goresbrook,Standard Table (ST) wards,SWARD,1400,3033,559,1235,3135,995,0,35,18,0,41,26,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,0,4,0,0,7,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,4,3,0,8,0,3,6,3,0,4,0,0,3,0,8,15,0,5,17,0,23,115,6,28,114,3,9,71,0,6,63,12,3,20,12,0,22,3,0,5,0,0,7,0,0,0,0,0,6,3,3,6,0,0,0,0,
19909,00ABGF,00ABGF : Heath,Standard Table (ST) wards,SWARD,1217,2588,677,1143,2799,1235,3,32,20,0,30,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,3,3,0,3,3,4,0,6,0,0,3,3,7,24,4,9,25,0,26,72,6,26,102,3,3,46,6,3,37,9,0,15,3,3,28,6,0,3,0,0,0,0,0,3,0,0,5,3,0,0,0,0,3,3,
19910,00ABGG,00ABGG : Longbridge,Standard Table (ST) wards,SWARD,845,2841,603,852,2620,1114,0,38,12,0,30,22,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,6,3,0,0,4,0,6,3,0,5,4,0,0,0,0,0,0,0,3,0,0,3,0,5,4,0,0,10,3,0,5,0,0,4,0,0,15,0,0,16,3,11,99,6,12,79,5,3,204,18,3,176,30,3,30,7,3,34,9,0,3,0,0,9,3,0,6,0,0,3,0,0,4,0,0,5,0,
19911,00ABGH,00ABGH : Mayesbrook,Standard Table (ST) wards,SWARD,1081,2644,609,1069,2745,1164,3,37,13,4,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,6,4,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,3,4,0,3,5,0,4,6,0,0,3,3,0,0,3,7,18,5,3,13,0,14,72,0,18,82,6,3,33,0,6,43,9,3,12,3,0,24,3,0,3,0,0,3,0,3,3,0,0,0,3,0,6,0,3,4,0,
19912,00ABGJ,00ABGJ : Parsloes,Standard Table (ST) wards,SWARD,1062,2619,560,1069,2587,1154,0,39,16,3,27,49,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,0,3,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,5,0,0,4,3,6,14,0,4,18,3,14,59,0,10,58,0,6,50,3,12,59,6,0,19,0,3,15,3,4,3,0,3,4,0,0,6,0,0,3,0,0,0,0,0,0,3,
19913,00ABGK,00ABGK : River,Standard Table (ST) wards,SWARD,1327,3205,487,1215,3079,956,3,58,56,0,45,99,0,0,3,0,0,0,0,3,0,0,0,0,0,6,0,0,3,0,0,5,0,0,10,5,0,7,0,3,5,3,0,0,0,0,0,0,0,3,0,0,0,3,3,8,0,0,4,3,0,0,0,0,4,0,3,27,0,10,21,0,24,133,0,28,138,9,3,105,9,9,105,20,0,35,8,0,32,15,0,3,0,0,0,0,0,3,0,0,3,3,0,4,0,0,0,0,
19914,00ABGL,00ABGL : Thames,Standard Table (ST) wards,SWARD,1012,2558,465,1035,2681,793,0,15,9,0,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,9,0,3,4,4,0,3,0,0,6,0,0,3,0,0,0,0,3,3,0,0,4,3,4,11,0,3,9,3,0,6,0,0,4,0,19,57,3,8,53,0,33,259,6,42,242,3,9,109,7,9,113,7,3,36,6,11,48,3,3,10,0,0,3,0,0,3,0,0,8,0,0,5,0,0,9,0,
19915,00ABGM,00ABGM : Valence,Standard Table (ST) wards,SWARD,982,2484,582,1009,2557,1130,0,23,16,0,31,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,3,6,5,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,3,0,7,3,0,4,3,9,15,0,4,17,3,17,73,0,13,68,6,0,47,0,0,41,11,0,21,3,3,20,3,0,3,0,0,8,0,0,3,0,0,0,0,0,5,3,0,3,0,
19916,00ABGN,00ABGN : Village,Standard Table (ST) wards,SWARD,1218,2882,582,1172,2906,976,0,33,26,0,30,31,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,6,0,0,3,3,3,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,9,3,0,6,3,0,4,0,0,5,0,6,22,3,3,20,3,14,114,3,21,113,9,13,69,0,6,54,6,0,16,6,3,30,6,0,5,0,3,9,0,0,3,0,0,7,0,0,3,0,0,5,0,
19917,00ABGP,00ABGP : Whalebone,Standard Table (ST) wards,SWARD,1142,2959,587,988,2981,967,3,47,19,0,65,39,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,4,0,3,0,5,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,9,3,0,5,3,0,4,0,4,9,4,3,20,3,13,135,3,12,120,6,10,136,21,9,141,20,0,47,13,3,36,16,3,8,3,3,13,0,0,6,0,0,8,3,0,4,3,0,5,3,
19918,00ACFX,00ACFX : Brunswick Park,Standard Table (ST) wards,SWARD,1615,4564,905,1429,4575,1563,0,90,35,0,102,67,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,13,9,5,7,5,3,25,13,3,43,15,0,30,36,0,3,0,0,3,3,0,10,6,0,23,11,4,42,3,7,53,11,0,7,3,3,6,5,9,55,14,8,89,14,27,312,25,30,352,36,20,682,129,20,646,220,5,55,9,9,67,16,3,8,3,0,29,5,4,23,0,4,8,5,0,14,0,0,12,6,
19919,00ACFY,00ACFY : Burnt Oak,Standard Table (ST) wards,SWARD,2026,4470,672,1888,4863,1321,18,172,61,8,172,122,0,0,0,0,0,0,0,3,0,0,0,0,5,4,0,4,13,3,0,17,3,3,18,9,0,28,0,3,23,9,5,0,0,5,4,0,0,7,3,0,9,4,13,46,8,18,45,14,0,4,0,0,7,3,22,82,11,15,110,10,116,598,29,105,725,48,92,664,76,79,720,103,10,84,15,17,89,20,9,22,3,8,52,4,0,8,0,3,18,0,6,23,0,6,18,4,
19920,00ACFZ,00ACFZ : Childs Hill,Standard Table (ST) wards,SWARD,1618,5504,1018,1534,5773,1836,8,142,63,3,182,149,0,3,0,0,0,0,0,4,3,0,4,0,19,47,3,8,84,11,7,45,62,3,49,109,0,78,15,3,60,40,3,10,3,5,18,5,0,36,3,3,43,12,4,94,12,14,161,60,4,13,0,6,24,15,26,222,69,27,279,93,75,561,44,58,624,85,100,874,154,79,872,210,45,128,26,37,201,42,6,44,3,14,91,10,3,178,3,7,236,7,6,17,4,3,25,8,
19921,00ACGA,00ACGA : Colindale,Standard Table (ST) wards,SWARD,1606,4378,569,1555,4702,1060,8,153,40,6,145,92,0,0,0,0,0,3,0,3,0,0,3,3,0,9,3,3,19,4,3,16,3,3,30,11,3,41,8,3,34,19,0,4,0,0,8,0,0,15,3,0,25,4,25,74,5,16,84,11,3,10,0,0,3,6,12,98,13,14,127,17,94,725,42,99,827,80,68,850,97,60,895,167,12,74,27,6,98,56,3,35,3,3,38,5,0,13,0,3,18,0,0,11,4,3,18,6,
19922,00ACGB,00ACGB : Coppetts,Standard Table (ST) wards,SWARD,1414,4916,639,1388,4902,1236,8,135,28,0,160,80,0,0,0,0,3,0,0,3,0,0,0,3,0,19,0,4,29,4,0,20,6,0,19,11,3,52,14,0,29,32,0,3,0,3,5,0,0,13,0,4,17,8,6,26,5,8,56,16,0,7,3,0,13,6,46,112,20,19,153,24,38,392,33,49,421,43,39,595,76,47,626,175,6,65,16,8,77,15,3,18,0,3,50,0,0,26,0,0,37,0,0,14,5,5,8,12,
19923,00ACGC,00ACGC : East Barnet,Standard Table (ST) wards,SWARD,1627,4976,867,1530,4892,1445,3,93,26,3,107,60,0,0,0,0,0,0,0,3,0,0,4,0,3,6,0,4,26,5,3,18,3,0,30,16,3,31,5,3,16,13,0,3,3,0,11,3,0,9,0,0,19,3,4,18,3,0,35,12,0,5,0,0,14,3,17,62,8,13,82,14,32,257,19,26,257,28,34,401,54,17,379,96,6,34,12,8,62,8,3,12,3,5,16,0,3,17,3,3,21,0,0,6,0,0,8,0,
19924,00ACGD,00ACGD : East Finchley,Standard Table (ST) wards,SWARD,1268,4723,759,1306,4981,1498,5,129,66,0,145,140,0,0,0,0,0,0,0,3,3,0,6,3,3,14,0,0,41,4,0,27,7,3,47,35,3,37,24,3,37,29,0,5,3,0,13,3,0,6,3,3,22,3,7,42,0,5,61,19,3,9,0,0,13,5,9,96,19,10,108,27,40,392,40,48,409,58,54,516,95,56,572,171,13,76,8,12,124,18,3,32,3,5,59,6,8,60,3,5,80,4,0,8,4,0,11,0,
19925,00ACGE,00ACGE : Edgware,Standard Table (ST) wards,SWARD,1683,4448,954,1577,4565,1596,3,82,24,7,77,67,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,3,24,8,0,10,31,0,17,36,0,13,5,0,14,13,0,8,0,0,9,6,0,9,3,0,12,3,4,21,18,3,36,33,6,8,0,3,14,5,7,59,26,8,85,29,69,608,44,60,645,77,78,547,87,64,561,140,6,41,13,8,60,23,3,21,0,4,26,6,3,12,3,0,13,0,0,15,3,0,20,3,
19926,00ACGF,00ACGF : Finchley Church End,Standard Table (ST) wards,SWARD,1189,4490,964,1178,4308,1688,3,84,28,0,61,57,0,0,0,0,3,0,0,5,0,0,3,0,4,11,5,0,24,9,3,30,32,3,32,58,0,32,12,3,38,27,0,3,3,3,9,3,5,9,0,3,21,4,3,49,19,6,65,43,3,21,3,4,26,8,10,88,45,14,157,70,36,485,48,48,429,80,85,749,129,77,716,215,18,49,4,17,98,20,0,14,3,3,37,3,6,51,0,5,57,4,0,9,4,3,12,8,
19927,00ACGG,00ACGG : Garden Suburb,Standard Table (ST) wards,SWARD,1382,4440,965,1399,4631,1888,0,49,18,0,49,35,0,0,0,0,0,0,0,4,0,0,0,0,6,41,0,8,50,10,0,32,66,4,49,132,0,44,5,0,33,17,3,8,0,0,11,4,0,12,0,0,25,4,6,72,30,6,91,70,6,19,3,4,26,5,23,115,44,13,226,95,39,357,48,29,353,70,52,617,70,43,638,127,67,141,11,47,159,24,8,20,0,7,56,8,8,72,3,6,116,13,0,9,3,4,17,3,
